Category,Item Name,Item Code,Size,Finish,PCS / Set,SPU,MRP (?),New Product
Drawer Slides,Facia Bracket) CDSEG45-SC-ZW 450 mm ZW Set 1192,CDSEG50-SC-ZW,450 mm | 500 mm | 550 mm,ZW/ZW,,500,"1,279",
Drawer Slides,Facia Bracket) CDSEG45-SC-ZW 450 mm ZW Set 1192,CDSEG55-SC-ZW,500 mm | 550 mm | 300 mm,ZW/ZW,,550,"1,439",
Drawer Slides,Facia Bracket) CDSEG45-SC-ZW 450 mm ZW Set 1192,CDSS230-SC,550 mm | 300 mm | 350 mm,ZW,,300,"1,620",
Drawer Slides,Facia Bracket) CDSEG45-SC-ZW 450 mm ZW Set 1192,CDSS235-SC,300 mm | 350 mm | 400 mm,ZW,,350,"1,672",
Drawer Slides,Facia Bracket) CDSEG45-SC-ZW 450 mm ZW Set 1192,CDSS240-SC,350 mm | 400 mm | 450 mm,ZW,,400,"1,832",
Drawer Slides,Bracket),CDSS250-SC,450 mm | 500 mm | 550 mm,ZW,,500,"2,110",
Drawer Slides,Bracket),CDSS255-SC,500 mm | 550 mm | 600 mm,ZW,,550,"2,286",
Drawer Slides,Bracket),CDSS260-SC,550 mm | 600 mm,ZW,,600,"2,388",
Drawer Slides,Slim 2 (for Undermount,CDSS2KB-45-SC,450 mm,ZW,,,"1,693",
Drawer Slides,Facia Bracket / Extendo),CDSS330-SC-ZW,300 mm | 350 mm,ZW/ZW,,300,"1,223",
Drawer Slides,Facia Bracket / Extendo),CDSS335-SC-ZW,300 mm | 350 mm | 400 mm,ZW/ZW,,350,"1,283",
Drawer Slides,Facia Bracket / Extendo),CDSS340-SC-ZW,350 mm | 400 mm | 450 mm,ZW/ZW,,400,"1,345",
Drawer Slides,(with Facia Bracket),CDSS350-SC-ZW,450 mm | 500 mm | 550 mm,ZW/ZW,,500,"1,526",
Drawer Slides,(with Facia Bracket),CDSS355-SC-ZW,500 mm | 550 mm | 600 mm,ZW/ZW,,550,"1,567",
Drawer Slides,(with Facia Bracket),CDSS360-SC-ZW,550 mm | 600 mm | 350 mm,ZW/ZW,,600,"1,639",
Drawer Slides,(with Facia Bracket),CDSS235-SP,600 mm | 350 mm | 400 mm,ZW,,350,"4,001",
Drawer Slides,Facia Bracket) CDSS245-SP 450 mm ZW Set 4304,CDSS250-SP,450 mm | 500 mm,ZW,,500,"4,519",
Drawer Slides,Slim 2,CDSS230-PO,900 mm | 300 mm | 350 mm,ZW,,300,"1,753",
Drawer Slides,Slim 2,CDSS235-PO,300 mm | 350 mm | 400 mm,ZW,,350,"1,796",
Drawer Slides,Facia Bracket),CDSS245-PO,400 mm | 450 mm | 500 mm,ZW,,450,"2,074",
Drawer Slides,Facia Bracket),CDSS250-PO,450 mm | 500 mm,ZW,,500,"2,234",
Hinges,Facia Bracket),E-HS1A,35 mm,,Set of 2 Pcs,100,105,
Hinges,& Inset,E-HS3A,35 mm,,Set of 2 Pcs,100,121,
Hinges,& Inset,E-HS1A-M1,35 mm,,Set of 2 Pcs,100,112,
Hinges,4 Hole Mounting Plate -,E-HS2A-M1,35 mm,,Set of 2 Pcs,100,121,
Hinges,Inset,E-HS3A-M1,35 mm,,Set of 2 Pcs,100,128,
Hinges,"mounting plate (Overlay,",HC2-I-M1,35 mm,,Set of 2 Pcs,35,168,
Hinges,& Inset) HC3-I-M1 ø 35 mm NP Set of 2 Pcs 175,E-HSM1,35 mm,,Set of 2 Pcs,50,213,
Hinges,& Inset) HC3-I-M1 ø 35 mm NP Set of 2 Pcs 175,E-HSM2,35 mm,,Set of 2 Pcs,50,215,
Hinges,& Inset),E-HSM2-GM,35 mm,GM/GM,Set of 2 Pcs,35,231,
Hinges,& Inset),E-HSM3-GM,35 mm,GM/GM,Set of 2 Pcs,35,240,
Hinges,& Inset),E-HSM1-M1,35 mm,,Set of 2 Pcs,50,213,
Hinges,& Inset),E-HSM2-M1,35 mm,,Set of 2 Pcs,50,226,
Hinges,& Inset),E-HSM2-M1-GM,35 mm,GM/GM,Set of 2 Pcs,35,242,
Hinges,& Inset),E-HSM3-M1-GM,35 mm,GM/GM,Set of 2 Pcs,35,247,
Hinges,& Inset),HSMS1A,,,Set of 2 Pcs,,220,
Hinges,Overlay & Inset),HSMS3A,,,Set of 2 Pcs,,235,
Hinges,Overlay & Inset),HSMS1A-M1,,,Set of 2 Pcs,,222,
Hinges,Click On - with 4 Hole,HSMS2A-M1,,,Set of 2 Pcs,,229,
Hinges,Half Overlay & Inset),HSMS3A-M1,,,Set of 2 Pcs,,238,
Hinges,Cup Cover for Hinge Slow-,HSMSA-CC1,,,Set of 2 Pcs,,20,
Hinges,Ebco Logo Cap for Hinge,HSMSA-LC1,,,Set of 2 Pcs,,11,
Hinges,Slow-Motion 'S' Click On,HAP1,4 mm | 20 mm,,Set of 2 Pcs,18,493,
Hinges,Overlay & Half Overlay,HAP2,4 mm | 20 mm,,Set of 2 Pcs,18,493,
Hinges,Overlay & Half Overlay,HAP1-TN,4 mm | 20 mm,,Set of 2 Pcs,18,603,
Hinges,Overlay & Half Overlay,HAP2-TN,4 mm | 20 mm,,Set of 2 Pcs,18,603,
Hinges,Overlay & Half Overlay,HAPL1-TN,4 mm | 20 mm,,Set of 2 Pcs,18,647,
Hinges,Overlay) Glass Thk: 4 mm,HAPL2-TN,4 mm | 20 mm,,Set of 2 Pcs,18,647,
Hinges,Plastic Covers Titanium 20 mm,HTD1-15-35-3D-SC,35 mm,,Set of 2 Pcs,35,420,
Hinges,Overlay & Half Overlay),HTD2-15-35-3D-SC,35 mm,,Set of 2 Pcs,35,420,
Hinges,Overlay & Half Overlay) HTD2-15-35-3D-SC-,HTD1-SC,40 mm,,Set of 2 Pcs,50,427,
Hinges,Overlay & Half Overlay) HTD2-15-35-3D-SC-,HTD2-SC,40 mm,,Set of 2 Pcs,50,427,
Hinges,Overlay & Inset) HTD1-SC-GM GM Set of 2 Pcs 458,HTD2-SC-GM,40 mm,GM/GM,Set of 2 Pcs,18,458,
Hinges,Overlay & Inset) HTD1-SC-GM GM Set of 2 Pcs 458,HTD3-SC-GM,40 mm,GM/GM,Set of 2 Pcs,,458,
Hinges,Overlay & Inset) HTD1-SC-GM GM Set of 2 Pcs 458,HPO1-POM,35 mm,,,35,229,
Hinges,"Overlay, Half Overlay &",HPO2-POM,35 mm,,,35,229,
Hinges,Open Fittings),HPO3-POM,35 mm,,,35,229,
Hinges,Recessed Hinge 25 - Soft,RH25-SC-TN,30 mm | 25 mm,,Set of 2 Pcs,16,"5,806",
Hinges,Housing for Recessed,RH25-HW,,,Set of 2 Pcs,,"1,240",
Aluminium Profiles & Handles,Recessed Hinge 35 - Soft,RH35-SC-TN,40 mm | 650 mm | 3000 x 650,,Set of 2 Pcs,26,"9,421",
Aluminium Profiles & Handles,Housing for Recessed,RH35-HW,,,Set of 2 Pcs,,"1,860",
Aluminium Profiles & Handles,Blind Corner Hinge 3D -,HBC1-3D-SC,35 mm,,Set of 2 Pcs,35,438,
Hinges,(Overlay & Half Overlay),H155-2-SC,35 mm,,Set of 2 Pcs,35,891,
Hinges,(Overlay & Half Overlay),H155-2-SC-GM,35 mm,GM/GM,Set of 2 Pcs,35,953,
Hinges,(Overlay & Half Overlay),H165-1-I,35 mm,,Set of 2 Pcs,10,580,
Hinges,(Overlay & Half Overlay),H165-2-I,35 mm,,Set of 2 Pcs,10,580,
Hinges,Pivot Hinge with Spring,HPS1,15 mm | 90 x 15,,Each,25,40,
General Hardware,ø 15 mm Carbide,CCS15,15 mm,,Each,1,345,
General Hardware,ø 26 mm Carbide,CCS26,26 mm,,Each,1,471,
General Hardware,ø 35 mm Carbide,CCS35,35 mm,,Each,35,650,
General Hardware,ø 40 mm Carbide,CCS40,40 mm,,Each,40,726,
General Hardware,Standard Shank,SL1-10-BL,120x120x100 | 120x120x130,BL/BL,Set of 4 pcs,,493,
General Hardware,Sofa Leg 1 (Black) SL1-13-BL 120x120x130x18mm BL Set of 4 pcs 560,SL1-15-BL,120x120x130 | 128x128x150 | 8 mm | 120x120x100,BL/BL,Set of 4 pcs,,616,
General Hardware,Sofa Leg 1 (Black) SL1-13-BL 120x120x130x18mm BL Set of 4 pcs 560,SL1-10-BG,128x128x150 | 8 mm | 120x120x100 | 120x120x130,,Set of 4 Pcs,,504,
